8635 26734
7727 907 680
4266 7093 -783
6627 3585 55
6642 1159 -333
5247 3353 329
8230 98 297
7973 3869 435
6371 1158 288
8628 734 92
5423 7824 305
4800 6689 980
7700 3431 416
550 6265 517
2214 7352 844
7938 3640 752
4759 4481 -92
2886 6549 -786
7331 8212 -209
300 2882 132
5719 6000 251
5165 3809 -665
5222 3126 602
1847 6840 -321
1468 6184 -815
4219 6894 657
6377 6546 -251
4054 4398 -133
7404 3385 -169
4765 3225 370
3855 7211 -973
5371 603 -796
5109 7189 -238
5071 5653 -217
5897 8165 -381
2334 6903 48
7297 1229 927
8071 3427 579
3062 2854 -248
1045 4038 -102
1347 7072 806
5195 6890 84
7304 533 921
4161 3949 305
7149 7109 668
6279 8383 733
2364 36 -952
7780 7655 601
7382 7388 -809
3618 4351 301
3000 989 -930
7152 213 107
545 5237 -89
849 8175 -155
367 38 -666
3569 4939 -543
691 1930 -679
5569 6397 980
4251 3750 726
1668 2718 -442
7191 8247 -988
5857 7861 105
1778 931 -354
6286 55 -790
5014 1376 -132
8594 4621 -792
4625 7009 -433
6765 7294 18
6054 2832 -377
3369 1586 -639
4713 7305 -460
3214 3521 453
2281 1349 -3
8290 7136 320
4826 4287 -406
355 1535 -732
1053 619 -945
88 2448 44
7018 4376 -837
1850 3920 -580
2738 4556 226
7501 8582 82
5137 8188 717
6946 2716 114
429 6128 -40
8520 1333 -992
6830 6388 514
6088 4542 -696
1939 3753 -461
7438 5177 -207
4283 6138 912
2003 6602 -808
1625 5853 -653
3203 4366 866
682 500 -861
1109 2164 -217
7241 7805 -114
3157 2226 -35
2748 7551 18
6999 4040 -868
2587 6261 -361
6154 3610 -248
7962 1963 570
2255 1144 92
6296 1893 127
3818 5363 18
2955 2261 203
6175 2669 -936
3518 3151 -219
7738 7333 888
678 3798 222
7326 508 -703
3877 2270 835
3937 4285 -164
6933 5415 -614
6949 1510 -161
7819 5793 283
1902 6034 -697
7570 392 984
252 4500 -628
954 7636 -856
4062 1366 -779
4477 2567 -950
8459 3355 516
5552 3043 -901
5379 738 399
5702 6621 -150
6748 7846 152
6088 4378 767
2680 3112 642
4622 4959 -62
6911 4599 -396
721 484 836
1595 4544 -167
438 4149 653
4362 159 969
2523 2320 -553
4827 2681 584
6492 4961 -266
2848 7765 237
2561 6770 944
4305 2913 -332
1788 8341 -271
3982 1123 -388
4957 7131 523
2037 7375 754
8463 4502 -930
2017 7016 -99
4876 4011 -162
5535 4424 25
6458 7293 563
6987 2995 905
8496 6424 -408
7304 6363 89
8209 613 283
1674 3191 -935
5249 1622 -197
2812 2315 622
216 2193 244
2718 4669 942
4452 4782 42
8355 7048 485
7062 3723 -478
6743 6919 -42
4137 5047 -619
148 3932 485
8216 5160 -421
5936 8465 457
5878 2663 180
5705 6505 618
2657 2206 278
1700 6572 -594
7112 5247 34
8222 7254 -7
4423 3115 955
196 6425 -908
7283 5073 201
7308 858 712
3958 387 552
3587 8080 -461
6560 6002 127
6584 7461 -282
120 7016 887
6037 3796 396
1022 1770 -172
2893 2513 205
5915 4887 99
57 5093 -461
8130 3971 539
4477 2179 -123
4930 3705 -763
733 3668 -208
3754 5662 -634
404 5410 -559
2340 6226 698
5247 8270 616
807 7355 -468
3170 6103 171
3537 4382 -48
8229 7361 862
8329 4267 -249
4144 8407 891
