18
820 807
729 180 54
24 728 -469
99 258 -630
331 622 -702
33 357 468
769 779 10
234 316 645
207 461 -264
575 184 -870
408 587 -904
367 820 478
596 111 32
454 811 104
421 348 485
516 576 849
506 15 -954
238 324 507
228 239 630
409 144 -211
170 463 3
779 643 302
234 624 -85
280 206 -241
130 409 -502
456 693 -553
629 68 -454
799 52 -753
167 264 -23
337 661 -337
92 768 839
22 648 -208
692 94 17
404 94 966
30 435 -63
579 780 -685
443 441 105
57 74 -555
545 467 636
310 646 385
686 49 578
253 581 311
212 722 -399
757 758 412
161 560 187
460 37 -793
793 2 466
40 100 -988
139 323 -118
93 793 -396
103 329 536
177 432 553
195 394 -661
777 164 960
491 165 150
326 468 314
430 408 407
378 607 -323
379 420 368
404 691 -324
398 698 -586
367 792 -540
184 670 923
425 409 907
753 629 979
394 515 299
202 285 688
383 309 868
707 161 697
154 637 542
170 555 423
68 799 -488
629 744 -857
222 146 671
199 657 -187
589 280 -630
15 172 -12
61 576 -668
752 808 -256
84 445 19
268 489 206
783 389 815
390 746 515
336 334 655
48 317 786
142 75 -353
210 650 -831
99 454 -737
347 74 -862
485 454 -834
376 765 409
398 681 22
492 546 -224
17 627 -802
69 670 -92
199 442 -315
597 169 375
192 68 -748
360 817 13
664 682 -19
586 343 -23
386 188 -802
724 333 198
35 593 675
254 726 -560
192 155 -300
548 581 223
740 42 539
816 45 84
442 131 432
566 694 -240
388 642 -585
700 764 -797
650 509 -652
48 284 -7
373 328 191
779 726 -506
602 61 392
158 671 27
245 281 312
178 115 788
502 41 804
650 128 -108
676 719 965
449 733 -563
86 93 -348
318 661 934
707 508 706
514 751 844
592 384 363
593 201 -453
239 255 -490
469 740 -823
64 646 -118
687 81 -389
101 479 -552
379 302 623
7 131 1
168 206 -639
735 112 846
107 298 509
736 373 -543
735 447 -624
86 112 -2
454 132 -765
641 721 -675
291 384 860
207 3 383
38 365 -121
515 741 503
637 675 747
657 804 -183
559 339 -531
380 638 663
450 724 868
616 327 404
404 506 -115
244 30 506
198 416 296
151 649 -36
764 812 -430
506 728 -474
463 334 569
19 802 -280
341 454 -81
123 472 333
669 442 192
334 344 233
220 607 551
422 750 784
209 47 -340
405 538 43
231 774 -290
149 35 340
703 116 940
410 406 -731
259 329 -881
649 167 225
428 281 -880
432 195 -92
1 308 -78
116 76 413
491 355 -664
187 397 -760
359 379 225
352 332 675
427 24 87
414 354 -260
74 722 354
706 316 478
553 322 612
102 105 -272
332 277 561
715 339 985
812 183 148
124 126 -163
508 281 828
312 268 400
618 774 -487
52 32 547
295 463 -141
410 484 605
476 136 880
154 737 -409
750 743 828
770 745 -896
18 748 -239
395 351 -879
669 708 -767
280 363 77
265 428 256
481 331 459
442 651 -728
649 504 156
420 107 -138
343 729 279
551 813 -429
149 790 3
815 690 247
636 758 801
779 194 170
304 739 -163
59 463 -966
90 384 -632
680 466 -461
446 557 -361
722 546 -741
188 185 -952
178 21 -327
655 691 -929
476 335 237
192 286 -792
374 154 -901
760 317 350
219 752 -831
327 653 520
366 689 -500
227 433 -438
89 549 713
703 126 841
98 121 -834
616 229 43
722 171 -890
167 175 88
456 816 -833
75 683 350
386 753 -5
460 689 -203
12 396 805
551 538 455
624 806 37
294 777 -533
17 738 319
748 461 -452
575 195 308
802 237 948
64 233 -8
163 602 -882
111 502 -293
433 474 5
728 435 -466
168 329 -373
207 706 709
521 693 568
690 393 494
317 293 439
767 304 81
806 492 -113
534 57 700
36 646 -519
678 93 218
118 108 -849
242 716 -84
639 426 -620
49 37 429
770 744 -133
606 733 714
176 171 -66
283 176 475
507 14 764
428 485 -378
495 399 -961
640 699 -630
350 712 -798
142 641 208
295 711 171
69 801 -7
453 620 489
536 10 867
589 478 801
186 38 -473
408 733 -198
440 262 869
329 656 -992
674 815 -618
657 163 -464
461 556 909
591 442 -123
173 39 213
565 623 912
706 752 -805
168 215 242
192 800 549
151 643 -803
194 118 -215
561 95 480
151 30 428
378 703 245
316 668 -364
41 721 232
50 753 334
151 28 71
190 465 -436
812 313 552
632 678 -468
144 343 -315
743 465 882
630 635 -91
395 374 962
741 587 -552
202 715 569
267 162 -85
397 515 836
562 417 751
482 222 139
721 249 499
3 799 -115
702 398 -436
70 612 -735
656 271 -128
119 718 -444
740 819 -851
549 435 506
28 549 312
335 192 -893
576 448 274
124 397 945
585 773 938
302 85 -434
363 350 -94
468 508 -789
515 345 73
468 352 489
295 285 894
103 750 362
324 32 133
474 222 -324
370 694 741
358 440 -396
562 669 -589
36 60 -72
261 274 767
494 97 369
638 625 488
285 195 -374
284 173 239
182 734 273
581 442 -395
182 195 -835
692 767 -999
90 724 224
82 242 -524
548 493 181
762 493 -687
133 429 587
784 273 -190
313 81 -433
112 713 37
301 137 739
163 814 723
737 303 551
463 776 574
271 651 836
712 135 -682
487 22 957
30 284 547
678 456 788
22 35 809
649 782 -796
689 282 614
3 686 173
685 797 -875
114 276 -981
264 658 651
393 657 -314
146 164 359
601 526 633
662 357 -595
79 146 937
105 808 727
409 644 285
152 781 -674
559 160 260
5 224 915
723 318 898
70 756 332
742 648 361
686 534 499
672 548 -869
456 682 -841
711 214 577
447 641 -59
754 524 -455
497 421 51
28 113 -768
112 35 -133
259 241 -464
597 18 754
294 122 253
807 481 -516
104 759 920
376 528 185
354 33 150
796 679 313
554 467 -510
539 679 -688
794 88 374
653 623 799
199 759 -306
737 362 -536
360 531 -186
749 452 -287
162 215 17
299 633 -992
