9629 29338
6608 9067 763
7046 2409 23
174 7205 -742
4016 222 399
7423 3509 -665
4013 286 768
9301 1957 -618
4127 6228 -436
6112 8229 -138
931 822 887
7363 7790 225
7516 1323 93
3027 873 282
389 7724 -808
4419 8546 376
7386 2932 623
8939 5859 -248
3586 8183 -400
7720 2186 -208
3736 4075 426
2897 2479 124
4750 7651 234
1868 3607 -635
3437 3545 -579
8455 9100 823
3672 1962 979
2058 6824 373
7150 6213 473
1182 1819 -322
5519 1181 876
1358 790 -461
4243 442 -769
2552 5756 180
9213 1452 -362
7114 409 777
8768 9425 -855
3477 5805 152
7270 4123 639
2281 272 391
371 5081 -99
8929 6382 -401
7828 3084 -347
2151 7604 -714
3228 7255 -391
4505 1137 167
1569 903 -794
6798 2365 229
3086 841 280
8125 7593 -273
9406 6429 -209
6022 8010 818
1612 1475 -761
8170 9493 293
2066 9179 -111
6259 5187 -358
2526 9315 25
8106 8987 322
8766 2298 639
3826 682 -889
2290 7080 -866
5102 6032 143
6898 1658 -853
2224 661 -265
8909 5727 585
4299 8806 -123
9613 1761 538
1908 406 -821
640 6297 -442
6601 2999 -501
4510 5881 -504
9180 9492 -181
3868 92 210
5725 6602 678
697 6651 748
3019 2192 -185
911 2131 27
9085 998 -421
6601 4553 851
7399 5688 876
3443 8949 -536
8077 1017 -379
7426 1914 -986
6385 1562 716
5714 1096 -284
2537 3916 -518
6592 5154 405
1445 261 126
78 1563 908
6910 2690 182
8471 5348 -840
8458 2402 621
9163 3404 -159
9268 6296 120
7101 8368 485
5310 679 -445
7685 4087 806
5023 3812 -818
5218 6216 -346
2461 2074 -676
4837 797 -960
4170 1001 990
6421 5576 -228
9194 5787 -762
4735 9539 813
8245 4822 18
5415 8109 -285
9372 8996 10
1652 255 -129
55 22 807
8521 4355 -19
4001 604 -273
6409 5174 -601
8069 9294 -75
3167 4667 -488
2903 1309 -762
3288 61 -160
1049 5554 -746
1739 1247 920
6648 8111 460
4330 6620 630
6449 8952 -542
7058 7193 -162
3650 3219 801
3444 3556 -17
3906 5043 -901
5265 7557 -331
5177 1382 618
4507 1032 -475
7318 2237 965
5333 3971 535
3409 3076 878
2914 1574 -590
5399 4890 -418
8322 6437 597
8839 828 -234
9294 3778 -350
6233 2748 -118
6110 5964 -678
3552 3086 816
9407 7987 187
2064 1672 -921
7488 1302 -54
9098 4903 451
5863 1126 490
3397 3250 467
6441 9505 29
3704 5038 -773
2530 2005 574
5540 1152 58
3857 8687 733
6844 4056 -466
3801 8589 -524
8170 810 -91
2759 7421 266
460 7126 -265
7072 5605 -397
4878 2185 636
9090 176 -762
9048 3184 248
3592 2488 -695
2510 8450 332
2696 1749 677
1689 2399 -135
9598 8738 -481
9577 3289 551
8395 9111 996
6737 6951 424
9168 4277 794
8678 5337 -750
3995 3080 80
5939 5032 -618
1117 281 -153
4308 7620 -760
1502 3357 976
5801 6357 489
5458 1666 -45
2487 4339 564
1912 177 240
6284 6964 148
9043 5701 -599
402 550 -414
188 294 -904
2229 5351 -92
3611 3119 197
8323 8510 -423
513 1307 -950
4401 4201 -168
6153 8075 -298
9094 9174 -685
4481 9607 -330
9223 9316 947
7944 3884 -565
6672 7848 -152
4480 8920 199
1761 6199 127
7875 4864 -784
5347 5921 -863
6549 8136 -238
2054 9098 -50
8351 3866 -824
4000 2038 342
3442 8804 -600
7854 5194 -456
4108 7194 332
1200 8534 785
5899 2513 -513
5423 8260 701
239 18 -259
2986 8420 -572
3046 6079 833
1954 7395 63
4190 7224 125
3129 745 377
969 8683 -596
3081 1205 402
4030 1548 462
3824 5626 63
5131 7738 -105
1949 4561 -706
4073 8491 -491
8409 1682 -720
1901 3888 990
5897 2268 -166
4718 7044 -307
2329 3928 -312
896 537 885
290 989 -227
5838 313 -868
5299 9590 502
5431 7867 30
3941 94 913
1442 4346 -940
3567 3364 844
2302 7599 -701
7273 2789 695
4958 2580 32
3890 2690 451
9628 5822 -42
1861 3905 -295
6887 2489 -270
3165 3450 -757
3051 3652 -966
8033 8930 924
7768 5152 308
9342 669 -208
6486 7799 9
6164 2472 684
5516 5397 196
4576 7170 810
1862 5585 592
1154 2176 229
1172 8178 -869
4291 7111 720
4155 405 372
6085 220 -198
1896 8028 -742
3334 6917 649
5469 5161 -448
5205 7527 820
6083 1198 569
3435 8777 657
5038 1643 318
164 4815 353
2026 2030 -992
957 7775 -301
3123 5229 484
5098 4779 972
9390 7228 936
8044 3232 481
4565 940 -670
334 8819 870
3802 2379 72
8427 7996 609
7192 7006 -247
3968 6722 -991
6789 8814 156
1300 3447 -375
7834 7159 -208
1051 3568 861
6995 2150 26
1400 83 -140
3894 8419 647
7291 4005 167
2707 6411 -950
5272 1956 -86
3670 9135 -9
3114 640 429
665 3367 -550
8110 7092 -182
6480 6801 574
7811 6444 629
6002 1606 -489
98 7400 75
6172 775 -849
4959 6910 -109
652 3212 -742
9029 6130 744
5953 6544 204
6695 1284 267
6625 8364 -537
6546 855 -57
1765 4747 358
3527 1835 -991
6717 2169 748
5008 7310 978
8234 8732 -681
8428 29 -203
7085 7401 436
851 3596 61
577 3657 -681
2440 542 -544
8765 7817 253
7999 6436 475
6754 8542 -330
3861 6724 -881
3913 7873 -572
8812 3947 314
7235 6967 330
7479 8903 -593
6209 3289 -305
792 9162 -735
4520 9019 526
6546 9027 910
630 4159 935
1490 1052 -39
4526 4358 926
8074 4010 57
3560 5012 629
1285 9543 354
49 7368 -989
8041 8956 -102
2520 4417 -342
4784 8348 978
5799 7245 -867
4284 6360 602
3380 6576 527
9056 1579 -966
8982 6789 -973
8526 8662 -281
9611 2110 68
8273 5757 -880
3226 2746 417
4607 8547 568
914 1707 -561
2242 7713 -469
1982 2527 -570
565 2076 -574
630 2021 -95
2900 7199 -623
16 2415 -913
4785 1522 920
401 8269 -270
931 3578 -754
5389 7803 562
3906 1668 -883
1500 7415 601
4902 5043 789
4406 3301 634
7546 6480 -42
3396 3592 -45
3862 2211 832
6710 8103 780
4207 1786 -823
126 9215 493
8873 4155 -404
1088 2474 301
3733 5406 -734
7267 4509 538
269 5328 110
5491 5068 851
8653 6966 949
2383 4953 -861
3535 3377 643
6176 7354 760
4490 7505 963
1336 8833 88
5239 7403 -790
1024 7632 6
1285 4527 823
7846 9424 -266
9355 3108 -835
6587 9208 996
8070 7593 808
1148 330 857
7262 1045 903
5543 514 -552
5005 1406 285
3600 9534 -520
9529 5868 -343
4996 2281 -848
8924 934 -758
8980 7632 901
9082 1400 -968
3960 2759 -493
5264 4995 -174
3157 4484 -35
6267 2081 -368
6046 628 537
8050 2578 458
3043 1246 -831
212 3735 658
4476 6800 -433
5962 7162 -416
1821 5417 767
6225 4354 554
5721 9100 -103
1469 8326 -720
3018 4699 -662
6493 4913 -791
9050 3245 456
5807 839 976
2014 5236 -881
8120 2001 968
6448 5867 445
9069 6997 -1000
1316 7053 266
5010 9399 -447
5318 4562 -144
2340 3830 -430
1839 5533 -259
5686 88 374
634 1685 12
8515 8349 -315
3842 4911 97
8672 8851 981
6085 7806 629
9044 7524 -685
866 2722 -381
8345 6209 410
4190 8176 -433
776 4779 -26
5449 2558 724
5607 3095 509
5048 7061 2
3408 2738 -540
6627 7634 -414
393 1175 692
2210 6468 -704
416 8550 917
4773 7967 -374
722 671 -407
7429 8914 -45
9096 1622 793
3630 6569 575
6576 9397 698
7881 4997 -953
6567 3705 938
9601 6940 560
1305 2865 -10
4794 8734 -894
4011 1085 434
7546 4708 -439
8331 3808 -320
7223 1310 -124
2199 5627 789
1552 6248 -583
7884 2640 -257
6858 8351 -337
6355 1807 -996
6379 3293 -932
4719 7103 591
1696 982 966
4950 236 310
41 3078 -212
6222 4712 -758
8970 2172 -215
7524 8823 123
9336 3170 -890
167 7123 -365
1073 4309 -942
9055 2885 633
2238 1175 928
9302 6813 -352
4699 8168 -456
2191 199 934
7436 5352 -609
9216 4531 -398
1823 4684 -587
7319 7935 -656
5809 300 -72
6342 776 677
7864 4828 912
8577 6097 -802
8932 9262 -262
2220 9196 428
1714 1856 -917
8559 863 942
5240 5095 -84
2061 4118 849
1385 6774 881
9146 5518 -815
9069 4207 -17
5387 4498 684
5465 3121 86
8899 8853 -857
7306 7259 339
526 3739 -338
430 8667 817
5114 3166 151
5372 9405 118
5279 475 -502
9084 7467 458
7009 7612 -882
4661 565 -141
3160 5304 -313
1859 1619 -958
3859 8782 -98
1763 6041 49
4653 5909 4
8976 136 267
2771 3323 307
2353 8843 -756
4042 7567 435
9620 7131 -434
7740 3743 -43
3913 4210 -917
4396 6357 837
6647 5216 -297
1553 1578 976
1243 6688 -997
9581 9507 676
9238 1169 465
6295 8341 -395
6282 7054 -761
2363 2730 124
2601 7623 361
4904 2166 -461
7933 7481 849
474 9489 13
7721 1247 -584
8355 3371 150
6536 8454 115
1915 4838 979
9347 5018 159
638 2088 131
8004 1127 -957
1196 6873 420
158 3992 515
9579 3708 151
295 2289 748
5764 4256 -784
7713 8673 479
5352 1803 -332
4963 3905 -946
2705 4757 276
7677 8644 669
2951 7997 -534
302 2273 -525
297 3916 -859
5866 617 507
895 8819 426
1196 4567 -307
8777 389 480
7355 3453 223
3674 537 801
2941 3513 835
7279 3840 768
1883 7180 854
260 1865 818
1490 5122 -344
9042 8325 -421
1972 697 147
3286 1918 -136
6672 4116 -715
1794 9428 -521
6415 133 -905
7214 1325 -459
875 5523 649
6999 9181 641
5846 2747 -427
1061 8782 -180
7350 5651 -218
8547 3787 -687
1163 7501 -412
8660 1269 501
7567 2365 -565
430 2542 632
2174 9086 -47
1426 6662 -57
282 1308 -802
7485 4317 -305
458 828 -202
9276 5460 -678
2711 4904 -649
6210 4393 268
910 4595 -279
2653 9254 -553
3760 1742 -823
5843 6519 127
8883 2091 -154
2048 8201 734
37 2574 -446
5575 7254 540
6013 981 -995
1751 5335 -357
3971 5124 -588
3608 7339 239
315 6889 -561
5222 3609 -603
7499 7589 307
5262 3 -594
1487 8986 -494
522 6528 841
3233 2036 -292
556 7323 191
5902 690 474
2848 6752 555
6553 4803 284
4784 9483 -56
4346 7567 -64
3822 7213 -303
1915 8666 -604
1923 6472 -29
3719 3989 667
7299 8304 -912
2630 6535 -791
5483 2007 910
7262 1683 439
6640 6088 489
4650 1735 -229
4127 5768 -731
4705 3289 541
7583 2396 344
8613 559 -481
8768 6297 152
1528 4965 356
1342 7730 264
5642 244 -814
8504 3002 664
3348 2590 564
6922 8741 693
91 7820 -473
4461 7716 -220
6516 8276 -785
9227 2777 -175
